"","Gender","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Travel.Busi","Travel.Pers","ClassBusi","ClassEco","ClassEcoPlus","cluster"
"297",0,44,388,3,1,3,4,3,3,2,3,4,3,4,1,3,3,84,77,1,0,0,1,0,2
"302",1,18,163,3,5,3,3,5,3,5,5,3,2,2,3,3,5,0,1,1,0,0,1,0,2
"303",0,38,449,4,4,4,4,3,4,3,3,4,2,5,5,5,3,0,0,1,0,1,0,0,2
"304",0,27,531,2,2,2,1,1,2,1,1,5,5,4,4,5,1,0,0,1,0,1,0,0,4
"305",1,26,254,2,5,2,4,2,2,2,2,5,4,5,3,2,2,0,0,1,0,0,1,0,2
"309",1,8,1192,3,3,3,2,3,3,5,3,1,1,3,3,2,3,0,0,1,0,0,1,0,1
"318",0,23,759,2,2,2,3,3,2,3,3,1,3,2,4,3,3,26,22,1,0,0,1,0,4
"319",0,22,1262,5,5,5,2,1,5,1,1,5,5,4,4,4,1,0,0,1,0,0,1,0,1
"332",0,37,409,3,0,3,3,5,3,5,5,2,4,4,3,1,5,0,0,1,0,0,1,0,2
"336",1,38,1257,4,4,4,3,1,4,2,1,1,5,3,4,4,1,1,5,1,0,0,1,0,1
"342",0,23,1075,3,3,3,5,2,3,2,2,3,5,5,3,5,2,41,32,1,0,0,1,0,1
"348",1,21,978,3,3,3,4,4,3,4,4,3,5,3,2,3,4,6,0,1,0,0,1,0,1
"356",0,21,448,2,0,1,3,2,1,2,2,1,5,4,1,2,2,0,0,1,0,0,1,0,2
"390",1,22,414,4,0,3,2,4,3,5,4,5,2,4,4,4,4,0,0,1,0,1,0,0,2
"397",0,22,998,1,1,1,1,2,1,2,2,3,4,5,5,5,2,14,1,1,0,0,1,0,1
"404",1,18,134,3,5,3,2,4,3,4,4,3,3,4,4,5,4,0,0,1,0,0,1,0,2
"405",0,38,204,4,4,4,4,2,4,2,2,3,5,5,5,4,2,0,0,1,0,1,0,0,2
"408",1,27,667,2,3,2,2,5,2,5,5,4,5,2,3,3,5,0,0,1,0,0,1,0,4
"411",1,26,403,3,4,3,3,3,3,3,3,2,5,3,4,3,3,0,0,1,0,0,1,0,2
"414",1,27,383,4,4,4,4,1,4,1,1,5,3,5,4,5,1,8,4,1,0,1,0,0,2
"418",1,20,208,5,3,5,1,3,5,3,3,5,4,3,4,4,3,0,0,1,0,0,1,0,2
"419",0,37,247,1,0,0,3,3,0,3,3,3,4,5,4,5,3,0,0,1,0,1,0,0,2
"427",1,54,990,5,4,4,4,1,5,1,1,4,4,3,5,5,1,0,0,1,0,1,0,0,1
"438",1,37,668,2,0,2,3,1,2,1,1,4,2,3,1,1,1,31,25,1,0,0,1,0,4
"442",0,25,870,5,0,5,1,3,5,3,3,5,4,4,4,5,3,0,2,1,0,1,0,0,4
"446",1,30,2521,2,2,2,5,5,2,5,5,3,2,2,5,5,5,0,0,1,0,0,0,1,3
"448",0,34,306,1,4,2,3,2,2,2,2,2,3,4,1,4,2,37,39,1,0,0,1,0,2
"453",0,25,1120,3,3,3,3,5,3,5,5,4,3,4,2,4,5,5,12,1,0,0,1,0,1
"460",0,47,448,2,1,1,4,1,2,1,1,5,2,1,1,2,1,0,0,1,0,0,0,1,2
"471",0,36,742,2,3,3,4,5,2,5,5,3,1,3,4,4,5,0,0,1,0,0,1,0,4
"487",1,36,158,3,0,3,1,5,3,1,5,3,4,1,4,1,5,0,17,1,0,0,1,0,2
"489",1,9,1013,3,3,3,3,3,3,3,3,2,3,4,2,3,3,0,11,1,0,0,1,0,1
"492",0,30,634,3,2,3,3,3,4,4,4,5,3,4,4,2,4,141,150,1,0,0,1,0,4
"498",1,25,261,0,3,0,3,4,0,4,4,4,3,5,1,4,4,2,3,1,0,0,1,0,2
"499",1,17,1009,5,4,5,3,1,5,1,1,4,4,5,5,4,1,41,37,1,0,1,0,0,1
"505",0,25,950,2,2,2,2,4,2,4,4,4,4,2,1,2,4,0,0,1,0,0,1,0,4
"512",1,19,283,4,1,4,4,1,4,1,1,1,2,3,2,4,1,22,19,1,0,0,1,0,2
"522",1,38,216,4,4,4,4,4,4,4,4,2,4,4,2,2,4,6,12,1,0,1,0,0,2
"524",0,33,547,1,4,1,3,2,1,2,2,1,5,4,4,4,2,0,0,1,0,0,1,0,4
"530",0,27,1280,4,4,4,4,4,4,4,4,5,4,3,5,4,4,21,4,1,0,1,0,0,1
"542",1,22,1009,0,0,0,4,4,0,4,4,4,3,5,4,4,4,95,84,1,0,1,0,0,1
"546",1,20,377,2,4,2,4,4,2,4,4,1,1,3,2,4,4,108,95,1,0,0,1,0,2
"563",1,22,925,3,3,3,4,1,3,1,1,3,4,3,4,3,1,0,0,1,0,0,1,0,4
"566",0,22,533,2,0,2,4,3,2,2,3,2,4,3,4,3,3,30,27,1,0,0,1,0,4
"570",0,79,269,2,2,2,4,5,2,3,5,2,3,3,1,4,5,0,0,1,0,0,1,0,2
"573",0,49,760,1,1,1,2,3,1,3,3,5,4,4,5,5,3,0,0,1,0,1,0,0,4
"580",0,23,964,4,3,3,4,3,3,3,3,1,3,4,1,4,3,0,0,1,0,0,1,0,4
"586",1,48,641,5,5,5,1,5,5,5,5,4,2,4,4,5,5,0,0,1,0,1,0,0,4
"593",0,25,399,3,0,2,4,1,2,1,1,3,4,3,4,5,1,0,0,1,0,0,1,0,2
"597",1,27,1444,4,4,4,4,5,4,5,5,4,5,4,3,4,5,7,1,1,0,1,0,0,1
"598",1,39,817,3,3,3,3,4,3,4,4,4,3,4,3,3,4,0,0,1,0,1,0,0,4
"600",0,36,624,2,2,2,4,5,2,3,5,2,1,3,2,3,5,0,15,1,0,0,1,0,4
"604",1,30,944,4,4,4,3,4,4,4,4,3,2,3,3,4,4,0,0,1,0,0,0,1,4
"610",1,29,122,2,2,2,3,2,2,2,2,1,3,4,1,3,2,0,0,1,0,0,1,0,2
"612",0,33,328,2,0,2,3,2,2,2,2,2,3,5,2,3,2,1,6,1,0,0,1,0,2
"615",1,24,432,5,5,5,3,3,5,3,3,3,2,5,4,4,3,0,0,1,0,1,0,0,2
"616",1,44,109,3,1,3,3,3,3,3,3,3,4,4,4,3,3,0,0,1,0,0,1,0,2
"622",0,25,1205,1,1,1,3,3,1,3,3,2,3,3,4,4,3,17,16,1,0,0,1,0,1
"623",0,29,941,1,1,1,4,3,1,3,3,2,1,2,1,4,3,39,24,1,0,0,1,0,4
"628",0,22,280,1,5,1,2,4,1,4,4,3,2,4,4,4,4,0,0,1,0,0,1,0,2
"635",1,34,789,2,5,2,2,5,2,1,5,3,5,5,4,5,5,0,0,0,1,0,1,0,4
"639",1,23,522,2,3,2,4,5,2,5,5,2,4,3,3,4,5,23,13,1,0,0,1,0,4
"641",0,27,581,5,5,5,4,2,5,1,2,3,4,5,4,4,2,0,0,1,0,1,0,0,4
"644",1,26,620,4,0,4,1,2,4,2,2,1,5,3,2,1,2,0,0,1,0,0,1,0,4
"649",0,15,239,3,2,2,2,2,2,4,2,3,5,3,3,3,2,0,0,1,0,0,1,0,2
"688",1,32,300,3,5,3,3,1,3,1,1,2,4,1,2,1,1,69,61,1,0,0,1,0,2
"695",1,22,733,3,3,3,3,3,3,3,3,2,2,3,3,4,3,42,42,1,0,0,1,0,4
"698",0,20,663,1,0,1,3,3,1,4,3,2,1,4,2,4,3,13,9,1,0,0,1,0,4
"711",1,25,1264,5,5,5,3,2,5,2,2,4,3,3,4,4,2,3,0,1,0,0,1,0,1
"713",0,32,531,3,0,4,4,3,4,3,3,1,1,5,2,4,3,0,0,1,0,0,1,0,4
"718",1,55,404,1,1,1,2,1,5,5,4,5,5,4,5,4,5,137,140,1,0,1,0,0,2
"727",1,23,451,3,2,3,4,1,3,1,1,2,4,4,2,4,1,52,55,1,0,0,1,0,2
"732",1,35,231,3,3,3,4,3,2,2,1,3,3,3,2,3,2,156,156,1,0,1,0,0,2
"735",1,23,236,1,0,0,3,0,3,3,5,3,5,3,3,1,3,61,148,1,0,0,1,0,2
"737",0,44,731,5,5,5,5,1,5,1,1,3,5,5,3,5,1,0,5,1,0,1,0,0,4
"743",0,44,1744,4,4,4,2,4,4,4,4,5,2,4,3,5,4,0,0,1,0,1,0,0,1
"748",1,22,341,5,0,5,3,2,5,2,2,3,3,3,2,5,2,23,16,1,0,0,1,0,2
"750",1,36,431,3,2,3,3,3,3,3,3,2,3,4,1,3,3,0,0,1,0,0,1,0,2
"762",0,21,577,1,1,1,3,3,1,3,3,4,5,3,3,4,3,0,0,1,0,0,1,0,4
"766",1,30,725,1,1,1,4,5,1,5,5,3,3,4,3,5,5,5,0,1,0,1,0,0,4
"769",0,38,1276,3,2,2,1,3,2,3,3,4,4,5,3,5,3,0,5,1,0,1,0,0,1
"770",0,39,2521,3,3,3,3,3,3,3,3,5,4,4,4,5,3,0,0,1,0,1,0,0,3
"778",0,41,358,3,3,3,3,4,3,2,4,3,1,3,2,1,4,0,5,1,0,1,0,0,2
"787",1,41,304,3,1,3,3,5,3,5,5,1,4,4,4,3,5,4,0,1,0,0,1,0,2
"788",1,26,641,4,4,4,4,4,4,4,4,3,2,5,4,4,4,0,20,1,0,1,0,0,4
"795",1,20,820,4,4,4,5,5,4,3,5,4,2,2,2,3,5,0,0,1,0,0,1,0,4
"797",1,25,523,2,0,2,3,4,2,4,4,4,3,5,4,4,4,0,0,1,0,1,0,0,4
"799",0,18,2457,3,4,4,3,2,3,4,2,3,4,3,1,3,2,0,4,1,0,0,1,0,3
"803",0,39,143,1,0,1,4,4,1,4,4,1,3,3,2,3,4,0,0,1,0,0,1,0,2
"806",1,25,930,5,0,5,2,1,5,1,1,5,5,4,5,5,1,14,0,1,0,1,0,0,4
"807",0,55,220,5,5,5,4,5,5,4,5,3,4,5,4,4,5,0,0,1,0,1,0,0,2
"821",1,23,657,4,4,4,3,3,4,3,3,4,1,2,2,4,3,0,0,1,0,0,1,0,4
"822",1,54,1237,3,3,3,3,1,3,1,1,3,2,3,3,3,1,0,11,1,0,0,1,0,1
"834",0,39,328,2,2,2,3,2,2,2,2,3,3,4,3,4,2,16,21,1,0,1,0,0,2
"844",1,16,174,3,2,3,3,4,3,4,4,2,4,4,4,3,4,0,14,1,0,0,1,0,2
"867",0,40,304,3,3,3,1,4,3,4,4,5,4,4,5,5,4,22,13,1,0,1,0,0,2
"870",0,24,1076,2,2,2,2,1,2,1,1,2,2,2,2,3,1,118,96,1,0,1,0,0,1
"876",1,27,491,3,2,3,3,2,3,2,2,4,3,4,1,3,2,6,0,1,0,0,1,0,2
"877",0,64,372,4,2,4,4,4,4,4,4,3,2,4,3,3,4,0,4,1,0,0,1,0,2
"879",0,25,337,1,5,1,3,3,1,5,3,3,3,4,3,5,3,0,0,1,0,1,0,0,2
"886",0,28,1197,1,1,1,3,3,1,1,3,2,2,4,3,3,3,0,0,1,0,0,1,0,1
"890",1,27,1179,3,3,3,3,5,3,5,5,1,2,4,2,2,5,0,0,1,0,1,0,0,1
"891",1,28,250,2,0,2,1,4,2,4,4,3,3,2,2,3,4,0,0,1,0,0,1,0,2
"893",1,54,1062,2,1,1,4,2,1,2,2,4,5,3,3,4,2,0,19,1,0,0,1,0,1
"904",0,34,1100,2,2,2,3,4,2,4,4,4,3,1,1,5,4,0,0,1,0,0,1,0,1
"906",1,56,67,2,0,2,5,1,2,1,1,2,2,3,4,1,1,0,0,1,0,0,1,0,2
"920",1,29,1208,4,5,5,2,2,5,2,2,5,1,2,2,2,2,0,0,1,0,0,1,0,1
"933",1,21,966,4,4,4,3,2,4,2,2,5,3,5,4,4,2,0,4,1,0,0,1,0,4
"938",1,19,1747,2,2,2,4,5,2,5,5,3,2,4,4,4,5,4,0,1,0,0,1,0,1
"940",0,52,814,3,3,3,4,1,3,1,1,3,2,3,1,3,1,0,0,1,0,0,1,0,4
"943",0,14,1463,3,3,3,4,2,3,4,2,3,2,3,3,4,2,31,56,1,0,0,1,0,1
"957",1,45,502,3,4,4,1,3,3,3,3,3,3,5,4,4,3,0,2,1,0,1,0,0,2
"960",0,29,189,0,0,0,3,5,0,5,5,4,5,5,4,4,5,0,0,1,0,1,0,0,2
"962",0,30,1746,2,2,2,2,3,2,1,3,4,5,3,4,5,3,0,21,1,0,1,0,0,1
"970",1,38,473,4,4,4,1,1,4,1,1,5,3,4,5,5,1,43,37,1,0,1,0,0,2
"972",0,24,921,3,3,3,1,5,3,5,5,5,4,5,3,5,5,0,0,1,0,0,1,0,4
"973",0,22,1149,1,1,0,2,4,0,4,4,2,2,2,2,3,4,0,6,1,0,0,0,1,1
"994",0,29,1037,4,4,4,3,1,4,1,1,4,5,4,4,4,1,0,0,1,0,1,0,0,1
"995",1,28,125,1,4,1,1,4,1,4,4,1,1,2,5,4,4,0,0,1,0,0,1,0,2
"999",0,27,737,1,1,1,3,1,1,1,1,3,2,3,2,3,1,1,1,1,0,0,1,0,4
"1010",0,23,461,4,1,4,3,4,4,4,4,3,4,3,3,2,4,0,5,1,0,0,1,0,2
"1035",0,25,1735,1,3,1,4,1,1,1,3,1,3,4,1,2,1,288,277,1,0,1,0,0,1
"1041",1,23,961,5,0,4,2,5,4,5,5,4,5,4,5,5,5,6,0,1,0,1,0,0,4
"1043",0,29,862,3,3,3,3,1,3,3,1,4,2,1,5,1,1,0,0,1,0,0,0,1,4
"1045",0,38,1598,5,5,5,5,1,5,1,1,3,4,4,3,4,1,0,0,1,0,1,0,0,1
"1056",1,28,1849,1,1,1,3,2,1,2,2,4,3,3,5,4,2,13,9,1,0,1,0,0,3
"1063",0,28,1750,2,2,2,3,2,2,5,2,2,1,3,3,4,2,20,22,1,0,0,1,0,1
"1064",0,36,323,3,3,3,3,4,3,4,4,2,5,3,4,4,4,42,50,1,0,0,1,0,2
"1065",0,27,2425,5,5,5,2,4,5,4,4,4,4,3,5,4,4,5,0,1,0,1,0,0,3
"1067",0,25,1050,2,2,2,2,5,2,5,5,1,3,1,1,4,5,0,0,1,0,0,1,0,1
"1077",1,23,529,1,5,1,4,3,1,3,3,3,5,4,4,5,3,0,1,1,0,0,1,0,4
"1080",1,19,1175,2,2,2,3,4,2,4,4,4,4,4,3,4,4,0,0,1,0,0,1,0,1
"1085",1,36,524,3,0,4,3,3,4,3,3,1,1,3,3,3,3,49,95,1,0,0,1,0,4
"1087",1,24,226,3,0,3,5,3,3,3,3,3,5,5,3,4,3,0,0,1,0,0,1,0,2
"1100",0,24,631,3,2,3,3,1,3,1,1,4,2,4,1,4,1,1,0,1,0,1,0,0,4
"1103",0,24,473,2,3,2,3,5,2,5,5,5,4,1,5,5,5,0,0,1,0,0,1,0,2
"1112",1,36,1258,3,3,3,4,3,3,3,3,3,4,3,1,3,3,0,0,1,0,0,1,0,1
"1113",1,25,271,5,0,5,4,2,5,2,2,3,2,4,4,4,2,0,5,1,0,1,0,0,2
"1117",0,19,918,0,5,0,5,1,0,1,1,5,5,5,3,4,1,0,0,1,0,1,0,0,4
"1128",1,26,689,1,1,1,3,5,1,5,5,5,5,5,3,4,5,0,0,1,0,1,0,0,4
"1145",1,22,250,4,4,4,5,2,4,2,2,4,2,4,4,2,2,0,0,1,0,0,1,0,2
"1147",1,39,491,4,4,4,4,2,4,2,2,4,2,5,4,4,2,0,0,1,0,1,0,0,2
"1153",1,22,1303,1,1,1,3,2,1,2,2,3,3,4,4,5,2,0,3,1,0,0,1,0,1
"1158",0,25,192,1,5,1,4,5,1,1,5,5,1,3,3,2,5,0,0,1,0,0,1,0,2
"1161",0,23,539,5,0,4,1,3,4,3,3,3,2,5,3,5,3,55,51,1,0,0,1,0,4
"1162",0,11,2133,3,3,3,4,1,3,1,1,4,3,4,4,3,1,2,13,1,0,0,1,0,3
"1172",0,57,409,4,1,4,3,4,4,4,4,2,3,3,1,3,4,23,54,1,0,0,1,0,2
"1176",1,28,468,2,2,2,3,4,2,4,4,4,3,3,4,2,4,0,10,1,0,1,0,0,2
"1195",1,23,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4,1,0,0,1,0,2
"1198",1,20,337,3,0,3,3,2,3,2,2,5,5,5,5,5,2,25,18,1,0,0,1,0,2
"1212",1,22,102,3,5,3,4,2,3,2,2,2,3,2,4,5,2,0,0,1,0,0,1,0,2
"1214",1,19,214,3,2,3,3,2,3,2,2,1,1,3,2,3,2,8,0,1,0,1,0,0,2
"1215",0,24,247,5,0,5,2,2,5,2,2,5,5,4,5,4,2,3,0,1,0,0,1,0,2
"1222",0,28,1726,5,5,5,4,5,5,5,5,4,5,4,5,5,5,0,0,1,0,1,0,0,1
"1224",0,28,817,1,1,1,5,4,1,4,4,5,2,4,1,5,4,0,0,1,0,0,1,0,4
"1228",1,24,441,4,0,4,3,2,4,2,2,5,2,4,4,5,2,0,0,1,0,1,0,0,2
"1235",1,17,543,2,1,3,4,5,3,5,5,2,3,4,4,3,5,0,0,1,0,0,1,0,4
"1236",1,27,626,0,0,0,3,3,0,3,3,3,2,5,4,5,3,0,0,1,0,1,0,0,4
"1238",1,38,1670,3,3,3,4,2,3,2,2,3,2,4,4,5,2,10,32,1,0,1,0,0,1
"1242",1,27,458,4,2,4,2,1,4,1,1,1,1,2,2,2,1,35,18,1,0,0,1,0,2
"1244",1,21,550,5,0,5,4,4,0,4,4,3,5,5,4,4,4,21,20,1,0,1,0,0,4
"1260",1,50,511,5,3,5,3,3,5,3,3,5,1,1,4,3,3,0,0,1,0,0,1,0,2
"1265",0,24,775,1,2,2,4,3,2,3,3,3,2,4,3,5,3,0,0,1,0,0,1,0,4
"1270",0,34,368,3,3,3,3,3,3,3,3,2,4,4,2,3,3,18,10,1,0,0,1,0,2
"1274",0,33,359,3,3,3,1,4,3,4,4,4,4,5,4,4,4,0,0,1,0,1,0,0,2
"1281",1,23,255,3,4,2,4,3,2,3,3,4,5,3,4,4,3,4,1,1,0,0,1,0,2
"1283",0,25,334,4,3,4,4,5,4,5,5,5,3,5,4,5,5,7,0,1,0,1,0,0,2
"1294",1,27,641,5,0,4,4,2,4,2,2,1,1,3,4,1,2,0,0,1,0,0,1,0,4
"1297",1,25,911,4,4,4,3,3,4,3,3,1,5,4,2,5,3,28,39,1,0,0,1,0,4
"1299",1,47,447,4,4,4,3,2,4,2,2,3,3,5,4,5,2,0,0,1,0,1,0,0,2
"1307",0,36,1104,4,4,4,3,1,4,1,1,4,3,1,4,2,1,4,0,1,0,0,1,0,1
"1308",1,41,402,5,5,5,3,2,5,2,2,3,4,4,5,4,2,76,95,1,0,1,0,0,2
"1312",1,26,484,4,4,4,4,4,4,4,4,4,5,4,4,5,4,0,0,1,0,1,0,0,2
"1313",0,36,371,3,2,3,3,5,3,5,5,4,4,2,4,3,5,11,6,1,0,0,1,0,2
"1314",1,37,261,4,0,4,3,2,4,2,2,4,1,5,5,1,2,0,3,1,0,0,1,0,2
"1317",0,19,1199,2,3,2,3,5,2,5,5,3,4,3,3,3,5,84,109,1,0,0,0,1,1
"1318",0,24,1440,4,0,4,2,1,4,1,1,5,4,4,3,4,1,0,0,1,0,1,0,0,1
"1320",1,44,692,3,3,3,4,3,3,3,3,5,4,5,3,5,3,0,0,1,0,1,0,0,4
"1323",0,47,226,1,3,1,3,2,1,2,2,2,3,1,1,2,2,0,0,1,0,0,1,0,2
"1330",0,20,296,3,1,3,3,4,3,2,4,2,1,4,3,3,4,0,0,1,0,0,0,1,2
"1331",0,20,828,2,2,2,2,5,2,5,5,1,2,3,4,3,5,0,21,1,0,1,0,0,4
"1334",1,16,458,3,0,3,3,1,3,1,1,2,1,3,4,3,1,0,0,1,0,0,1,0,2
"1347",1,24,228,4,3,4,2,2,4,2,2,5,5,4,5,5,2,0,0,1,0,1,0,0,2
"1365",0,47,609,4,1,4,1,3,4,3,3,2,1,2,2,1,3,0,0,1,0,0,1,0,4
"1368",0,38,347,2,2,2,3,5,2,5,5,3,4,3,4,4,5,69,52,1,0,0,0,1,2
"1371",0,24,296,5,0,5,2,2,5,4,2,5,4,4,5,5,2,0,0,1,0,0,1,0,2
"1372",1,27,1020,3,3,3,3,2,3,4,2,3,2,2,1,2,2,18,12,1,0,0,1,0,1
"1380",1,28,571,4,4,4,1,5,4,3,5,3,4,5,4,4,5,86,76,1,0,1,0,0,4
"1387",1,41,2640,3,3,3,4,2,3,2,2,3,3,4,2,4,2,23,0,1,0,1,0,0,3
"1392",0,41,342,3,4,4,2,3,3,3,3,2,5,3,3,4,3,7,0,1,0,1,0,0,2
"1402",0,23,577,1,4,1,4,2,1,5,2,3,2,4,1,3,2,17,18,1,0,0,1,0,4
"1414",0,37,1482,5,5,5,1,3,5,3,3,5,4,5,4,1,3,18,13,1,0,0,1,0,1
"1423",0,27,1050,3,3,3,1,4,3,4,4,4,5,4,3,4,4,0,0,1,0,0,1,0,1
"1424",1,20,370,1,1,1,3,3,1,4,3,2,5,3,1,4,3,0,0,1,0,0,0,1,2
"1425",1,15,541,2,4,2,4,2,2,2,2,4,2,5,5,4,2,7,8,1,0,0,1,0,4
"1436",0,22,447,1,0,1,4,1,1,1,1,3,5,4,5,5,1,0,0,1,0,0,1,0,2
"1437",0,49,711,1,1,1,3,4,1,4,4,3,1,4,4,4,4,0,2,1,0,0,1,0,4
"1439",0,28,669,2,2,2,4,5,2,5,5,3,4,4,3,3,5,13,4,1,0,0,1,0,4
"1448",0,34,482,3,3,3,1,3,3,3,3,4,3,4,4,5,3,0,4,1,0,1,0,0,2
"1451",0,22,819,4,5,5,1,4,5,4,4,2,4,3,1,1,4,0,10,1,0,0,1,0,4
