"","satisfaction","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","cluster"
"876",0,1,"disloyal Customer",27,"Business travel","Eco",491,3,2,3,3,2,3,2,2,4,3,4,1,3,2,6,0,3
"877",0,0,"disloyal Customer",64,"Business travel","Eco",372,4,2,4,4,4,4,4,4,3,2,4,3,3,4,0,4,2
"879",0,0,"disloyal Customer",25,"Business travel","Business",337,1,5,1,3,3,1,5,3,3,3,4,3,5,3,0,0,1
"886",0,0,"disloyal Customer",28,"Business travel","Eco",1197,1,1,1,3,3,1,1,3,2,2,4,3,3,3,0,0,4
"890",0,1,"disloyal Customer",27,"Business travel","Business",1179,3,3,3,3,5,3,5,5,1,2,4,2,2,5,0,0,1
"891",0,1,"disloyal Customer",28,"Business travel","Eco",250,2,0,2,1,4,2,4,4,3,3,2,2,3,4,0,0,1
"893",0,1,"disloyal Customer",54,"Business travel","Eco",1062,2,1,1,4,2,1,2,2,4,5,3,3,4,2,0,19,4
"904",0,0,"disloyal Customer",34,"Business travel","Eco",1100,2,2,2,3,4,2,4,4,4,3,1,1,5,4,0,0,1
"906",0,1,"disloyal Customer",56,"Business travel","Eco",67,2,0,2,5,1,2,1,1,2,2,3,4,1,1,0,0,4
"920",1,1,"disloyal Customer",29,"Business travel","Eco",1208,4,5,5,2,2,5,2,2,5,1,2,2,2,2,0,0,3
"933",1,1,"disloyal Customer",21,"Business travel","Eco",966,4,4,4,3,2,4,2,2,5,3,5,4,4,2,0,4,3
"938",0,1,"disloyal Customer",19,"Business travel","Eco",1747,2,2,2,4,5,2,5,5,3,2,4,4,4,5,4,0,1
"940",0,0,"disloyal Customer",52,"Business travel","Eco",814,3,3,3,4,1,3,1,1,3,2,3,1,3,1,0,0,3
"943",0,0,"disloyal Customer",14,"Business travel","Eco",1463,3,3,3,4,2,3,4,2,3,2,3,3,4,2,31,56,3
"957",0,1,"disloyal Customer",45,"Business travel","Business",502,3,4,4,1,3,3,3,3,3,3,5,4,4,3,0,2,2
"960",1,0,"disloyal Customer",29,"Business travel","Business",189,0,0,0,3,5,0,5,5,4,5,5,4,4,5,0,0,1
"962",0,0,"disloyal Customer",30,"Business travel","Business",1746,2,2,2,2,3,2,1,3,4,5,3,4,5,3,0,21,4
"970",1,1,"disloyal Customer",38,"Business travel","Business",473,4,4,4,1,1,4,1,1,5,3,4,5,5,1,43,37,3
"972",0,0,"disloyal Customer",24,"Business travel","Eco",921,3,3,3,1,5,3,5,5,5,4,5,3,5,5,0,0,2
"973",0,0,"disloyal Customer",22,"Business travel","Eco Plus",1149,1,1,0,2,4,0,4,4,2,2,2,2,3,4,0,6,1
"994",1,0,"disloyal Customer",29,"Business travel","Business",1037,4,4,4,3,1,4,1,1,4,5,4,4,4,1,0,0,3
"995",0,1,"disloyal Customer",28,"Business travel","Eco",125,1,4,1,1,4,1,4,4,1,1,2,5,4,4,0,0,1
"999",0,0,"disloyal Customer",27,"Business travel","Eco",737,1,1,1,3,1,1,1,1,3,2,3,2,3,1,1,1,4
"1010",0,0,"disloyal Customer",23,"Business travel","Eco",461,4,1,4,3,4,4,4,4,3,4,3,3,2,4,0,5,2
"1035",0,0,"disloyal Customer",25,"Business travel","Business",1735,1,3,1,4,1,1,1,3,1,3,4,1,2,1,288,277,4
"1041",1,1,"disloyal Customer",23,"Business travel","Business",961,5,0,4,2,5,4,5,5,4,5,4,5,5,5,6,0,2
"1043",0,0,"disloyal Customer",29,"Business travel","Eco Plus",862,3,3,3,3,1,3,3,1,4,2,1,5,1,1,0,0,3
"1045",1,0,"disloyal Customer",38,"Business travel","Business",1598,5,5,5,5,1,5,1,1,3,4,4,3,4,1,0,0,3
"1056",0,1,"disloyal Customer",28,"Business travel","Business",1849,1,1,1,3,2,1,2,2,4,3,3,5,4,2,13,9,4
"1063",0,0,"disloyal Customer",28,"Business travel","Eco",1750,2,2,2,3,2,2,5,2,2,1,3,3,4,2,20,22,4
"1064",0,0,"disloyal Customer",36,"Business travel","Eco",323,3,3,3,3,4,3,4,4,2,5,3,4,4,4,42,50,2
"1065",1,0,"disloyal Customer",27,"Business travel","Business",2425,5,5,5,2,4,5,4,4,4,4,3,5,4,4,5,0,2
"1067",0,0,"disloyal Customer",25,"Business travel","Eco",1050,2,2,2,2,5,2,5,5,1,3,1,1,4,5,0,0,1
"1077",0,1,"disloyal Customer",23,"Business travel","Eco",529,1,5,1,4,3,1,3,3,3,5,4,4,5,3,0,1,4
"1080",0,1,"disloyal Customer",19,"Business travel","Eco",1175,2,2,2,3,4,2,4,4,4,4,4,3,4,4,0,0,1
"1085",0,1,"disloyal Customer",36,"Business travel","Eco",524,3,0,4,3,3,4,3,3,1,1,3,3,3,3,49,95,3
"1087",0,1,"disloyal Customer",24,"Business travel","Eco",226,3,0,3,5,3,3,3,3,3,5,5,3,4,3,0,0,3
"1100",0,0,"disloyal Customer",24,"Business travel","Business",631,3,2,3,3,1,3,1,1,4,2,4,1,4,1,1,0,3
"1103",0,0,"disloyal Customer",24,"Business travel","Eco",473,2,3,2,3,5,2,5,5,5,4,1,5,5,5,0,0,1
"1112",0,1,"disloyal Customer",36,"Business travel","Eco",1258,3,3,3,4,3,3,3,3,3,4,3,1,3,3,0,0,3
"1113",1,1,"disloyal Customer",25,"Business travel","Business",271,5,0,5,4,2,5,2,2,3,2,4,4,4,2,0,5,3
"1117",1,0,"disloyal Customer",19,"Business travel","Business",918,0,5,0,5,1,0,1,1,5,5,5,3,4,1,0,0,4
"1128",0,1,"disloyal Customer",26,"Business travel","Business",689,1,1,1,3,5,1,5,5,5,5,5,3,4,5,0,0,1
"1145",0,1,"disloyal Customer",22,"Business travel","Eco",250,4,4,4,5,2,4,2,2,4,2,4,4,2,2,0,0,3
"1147",1,1,"disloyal Customer",39,"Business travel","Business",491,4,4,4,4,2,4,2,2,4,2,5,4,4,2,0,0,3
"1153",0,1,"disloyal Customer",22,"Business travel","Eco",1303,1,1,1,3,2,1,2,2,3,3,4,4,5,2,0,3,4
"1158",0,0,"disloyal Customer",25,"Business travel","Eco",192,1,5,1,4,5,1,1,5,5,1,3,3,2,5,0,0,1
"1161",1,0,"disloyal Customer",23,"Business travel","Eco",539,5,0,4,1,3,4,3,3,3,2,5,3,5,3,55,51,2
"1162",0,0,"disloyal Customer",11,"Business travel","Eco",2133,3,3,3,4,1,3,1,1,4,3,4,4,3,1,2,13,3
"1172",0,0,"disloyal Customer",57,"Business travel","Eco",409,4,1,4,3,4,4,4,4,2,3,3,1,3,4,23,54,1
"1176",0,1,"disloyal Customer",28,"Business travel","Business",468,2,2,2,3,4,2,4,4,4,3,3,4,2,4,0,10,1
"1195",1,1,"disloyal Customer",23,"Business travel","Eco",416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4,2
"1198",0,1,"disloyal Customer",20,"Business travel","Eco",337,3,0,3,3,2,3,2,2,5,5,5,5,5,2,25,18,3
"1212",0,1,"disloyal Customer",22,"Business travel","Eco",102,3,5,3,4,2,3,2,2,2,3,2,4,5,2,0,0,3
"1214",0,1,"disloyal Customer",19,"Business travel","Business",214,3,2,3,3,2,3,2,2,1,1,3,2,3,2,8,0,3
"1215",1,0,"disloyal Customer",24,"Business travel","Eco",247,5,0,5,2,2,5,2,2,5,5,4,5,4,2,3,0,3
"1222",1,0,"disloyal Customer",28,"Business travel","Business",1726,5,5,5,4,5,5,5,5,4,5,4,5,5,5,0,0,2
"1224",0,0,"disloyal Customer",28,"Business travel","Eco",817,1,1,1,5,4,1,4,4,5,2,4,1,5,4,0,0,1
"1228",1,1,"disloyal Customer",24,"Business travel","Business",441,4,0,4,3,2,4,2,2,5,2,4,4,5,2,0,0,3
"1235",0,1,"disloyal Customer",17,"Business travel","Eco",543,2,1,3,4,5,3,5,5,2,3,4,4,3,5,0,0,1
"1236",1,1,"disloyal Customer",27,"Business travel","Business",626,0,0,0,3,3,0,3,3,3,2,5,4,5,3,0,0,4
"1238",0,1,"disloyal Customer",38,"Business travel","Business",1670,3,3,3,4,2,3,2,2,3,2,4,4,5,2,10,32,3
