Row.names,satisfaction,Gender,Customer.Type,Age,Type.of.Travel,Class,Flight.Distance,Inflight.wifi.service,Departure.Arrival.time.convenient,Ease.of.Online.booking,Gate.location,Food.and.drink,Online.boarding,Seat.comfort,Inflight.entertainment,On.board.service,Leg.room.service,Baggage.handling,Checkin.service,Inflight.service,Cleanliness,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,cluster
216,0,0,disloyal Customer,25,Business travel,Business,325,1,5,1,4,1,1,5,1,4,3,4,5,4,1,1,0,2
217,1,0,disloyal Customer,29,Business travel,Business,781,4,4,4,5,4,4,4,4,5,5,5,4,4,4,0,0,4
220,1,1,disloyal Customer,17,Business travel,Business,1747,5,5,5,4,4,5,4,4,4,5,4,5,5,4,1,0,1
234,1,0,disloyal Customer,49,Business travel,Business,290,4,4,4,5,5,4,5,5,4,5,5,4,4,5,0,0,2
241,0,0,disloyal Customer,42,Business travel,Eco,304,4,2,4,3,2,4,4,2,2,1,4,4,3,2,0,0,2
242,0,0,disloyal Customer,26,Business travel,Eco,716,3,3,3,1,3,3,3,1,2,3,3,3,2,3,5,4,4
244,1,1,disloyal Customer,20,Business travel,Business,296,5,5,5,3,3,5,3,3,3,5,5,3,4,3,0,0,2
246,0,0,disloyal Customer,30,Business travel,Eco,259,2,0,2,3,5,2,5,5,4,1,2,5,1,5,0,0,2
251,1,0,disloyal Customer,23,Business travel,Business,224,5,4,5,3,3,5,3,3,3,5,4,5,4,3,9,21,2
273,1,0,disloyal Customer,27,Business travel,Business,409,5,5,5,4,2,5,2,2,4,2,4,5,4,2,14,8,2
290,0,0,disloyal Customer,50,Business travel,Business,166,4,4,4,4,1,4,1,1,4,4,4,3,4,1,0,0,2
294,1,0,disloyal Customer,20,Business travel,Eco,948,5,5,5,2,5,5,5,5,2,3,1,2,1,5,0,0,4
297,0,0,disloyal Customer,44,Business travel,Eco,388,3,1,3,4,3,3,2,3,4,3,4,1,3,3,84,77,2
302,0,1,disloyal Customer,18,Business travel,Eco,163,3,5,3,3,5,3,5,5,3,2,2,3,3,5,0,1,2
303,0,0,disloyal Customer,38,Business travel,Business,449,4,4,4,4,3,4,3,3,4,2,5,5,5,3,0,0,2
304,0,0,disloyal Customer,27,Business travel,Business,531,2,2,2,1,1,2,1,1,5,5,4,4,5,1,0,0,4
305,0,1,disloyal Customer,26,Business travel,Eco,254,2,5,2,4,2,2,2,2,5,4,5,3,2,2,0,0,2
309,0,1,disloyal Customer,8,Business travel,Eco,1192,3,3,3,2,3,3,5,3,1,1,3,3,2,3,0,0,1
318,0,0,disloyal Customer,23,Business travel,Eco,759,2,2,2,3,3,2,3,3,1,3,2,4,3,3,26,22,4
319,1,0,disloyal Customer,22,Business travel,Eco,1262,5,5,5,2,1,5,1,1,5,5,4,4,4,1,0,0,1
332,0,0,disloyal Customer,37,Business travel,Eco,409,3,0,3,3,5,3,5,5,2,4,4,3,1,5,0,0,2
336,0,1,disloyal Customer,38,Business travel,Eco,1257,4,4,4,3,1,4,2,1,1,5,3,4,4,1,1,5,1
342,0,0,disloyal Customer,23,Business travel,Eco,1075,3,3,3,5,2,3,2,2,3,5,5,3,5,2,41,32,1
348,0,1,disloyal Customer,21,Business travel,Eco,978,3,3,3,4,4,3,4,4,3,5,3,2,3,4,6,0,1
356,0,0,disloyal Customer,21,Business travel,Eco,448,2,0,1,3,2,1,2,2,1,5,4,1,2,2,0,0,2
390,1,1,disloyal Customer,22,Business travel,Business,414,4,0,3,2,4,3,5,4,5,2,4,4,4,4,0,0,2
397,0,0,disloyal Customer,22,Business travel,Eco,998,1,1,1,1,2,1,2,2,3,4,5,5,5,2,14,1,1
404,0,1,disloyal Customer,18,Business travel,Eco,134,3,5,3,2,4,3,4,4,3,3,4,4,5,4,0,0,2
405,1,0,disloyal Customer,38,Business travel,Business,204,4,4,4,4,2,4,2,2,3,5,5,5,4,2,0,0,2
408,0,1,disloyal Customer,27,Business travel,Eco,667,2,3,2,2,5,2,5,5,4,5,2,3,3,5,0,0,4
411,0,1,disloyal Customer,26,Business travel,Eco,403,3,4,3,3,3,3,3,3,2,5,3,4,3,3,0,0,2
414,1,1,disloyal Customer,27,Business travel,Business,383,4,4,4,4,1,4,1,1,5,3,5,4,5,1,8,4,2
418,1,1,disloyal Customer,20,Business travel,Eco,208,5,3,5,1,3,5,3,3,5,4,3,4,4,3,0,0,2
419,0,0,disloyal Customer,37,Business travel,Business,247,1,0,0,3,3,0,3,3,3,4,5,4,5,3,0,0,2
427,1,1,disloyal Customer,54,Business travel,Business,990,5,4,4,4,1,5,1,1,4,4,3,5,5,1,0,0,1
438,0,1,disloyal Customer,37,Business travel,Eco,668,2,0,2,3,1,2,1,1,4,2,3,1,1,1,31,25,4
442,1,0,disloyal Customer,25,Business travel,Business,870,5,0,5,1,3,5,3,3,5,4,4,4,5,3,0,2,4
446,0,1,disloyal Customer,30,Business travel,Eco Plus,2521,2,2,2,5,5,2,5,5,3,2,2,5,5,5,0,0,3
448,0,0,disloyal Customer,34,Business travel,Eco,306,1,4,2,3,2,2,2,2,2,3,4,1,4,2,37,39,2
453,0,0,disloyal Customer,25,Business travel,Eco,1120,3,3,3,3,5,3,5,5,4,3,4,2,4,5,5,12,1
460,0,0,disloyal Customer,47,Business travel,Eco Plus,448,2,1,1,4,1,2,1,1,5,2,1,1,2,1,0,0,2
471,0,0,disloyal Customer,36,Business travel,Eco,742,2,3,3,4,5,2,5,5,3,1,3,4,4,5,0,0,4
487,0,1,disloyal Customer,36,Business travel,Eco,158,3,0,3,1,5,3,1,5,3,4,1,4,1,5,0,17,2
489,0,1,disloyal Customer,9,Business travel,Eco,1013,3,3,3,3,3,3,3,3,2,3,4,2,3,3,0,11,1
492,0,0,disloyal Customer,30,Business travel,Eco,634,3,2,3,3,3,4,4,4,5,3,4,4,2,4,141,150,4
498,1,1,disloyal Customer,25,Business travel,Eco,261,0,3,0,3,4,0,4,4,4,3,5,1,4,4,2,3,2
499,1,1,disloyal Customer,17,Business travel,Business,1009,5,4,5,3,1,5,1,1,4,4,5,5,4,1,41,37,1
505,0,0,disloyal Customer,25,Business travel,Eco,950,2,2,2,2,4,2,4,4,4,4,2,1,2,4,0,0,4
512,0,1,disloyal Customer,19,Business travel,Eco,283,4,1,4,4,1,4,1,1,1,2,3,2,4,1,22,19,2
522,1,1,disloyal Customer,38,Business travel,Business,216,4,4,4,4,4,4,4,4,2,4,4,2,2,4,6,12,2
524,0,0,disloyal Customer,33,Business travel,Eco,547,1,4,1,3,2,1,2,2,1,5,4,4,4,2,0,0,4
530,1,0,disloyal Customer,27,Business travel,Business,1280,4,4,4,4,4,4,4,4,5,4,3,5,4,4,21,4,1
542,1,1,disloyal Customer,22,Business travel,Business,1009,0,0,0,4,4,0,4,4,4,3,5,4,4,4,95,84,1
546,0,1,disloyal Customer,20,Business travel,Eco,377,2,4,2,4,4,2,4,4,1,1,3,2,4,4,108,95,2
563,0,1,disloyal Customer,22,Business travel,Eco,925,3,3,3,4,1,3,1,1,3,4,3,4,3,1,0,0,4
566,0,0,disloyal Customer,22,Business travel,Eco,533,2,0,2,4,3,2,2,3,2,4,3,4,3,3,30,27,4
570,0,0,disloyal Customer,79,Business travel,Eco,269,2,2,2,4,5,2,3,5,2,3,3,1,4,5,0,0,2
573,0,0,disloyal Customer,49,Business travel,Business,760,1,1,1,2,3,1,3,3,5,4,4,5,5,3,0,0,4
580,0,0,disloyal Customer,23,Business travel,Eco,964,4,3,3,4,3,3,3,3,1,3,4,1,4,3,0,0,4
586,1,1,disloyal Customer,48,Business travel,Business,641,5,5,5,1,5,5,5,5,4,2,4,4,5,5,0,0,4
593,0,0,disloyal Customer,25,Business travel,Eco,399,3,0,2,4,1,2,1,1,3,4,3,4,5,1,0,0,2
597,0,1,disloyal Customer,27,Business travel,Business,1444,4,4,4,4,5,4,5,5,4,5,4,3,4,5,7,1,1
598,0,1,disloyal Customer,39,Business travel,Business,817,3,3,3,3,4,3,4,4,4,3,4,3,3,4,0,0,4
600,0,0,disloyal Customer,36,Business travel,Eco,624,2,2,2,4,5,2,3,5,2,1,3,2,3,5,0,15,4
604,0,1,disloyal Customer,30,Business travel,Eco Plus,944,4,4,4,3,4,4,4,4,3,2,3,3,4,4,0,0,4
610,0,1,disloyal Customer,29,Business travel,Eco,122,2,2,2,3,2,2,2,2,1,3,4,1,3,2,0,0,2
612,0,0,disloyal Customer,33,Business travel,Eco,328,2,0,2,3,2,2,2,2,2,3,5,2,3,2,1,6,2
615,1,1,disloyal Customer,24,Business travel,Business,432,5,5,5,3,3,5,3,3,3,2,5,4,4,3,0,0,2
616,0,1,disloyal Customer,44,Business travel,Eco,109,3,1,3,3,3,3,3,3,3,4,4,4,3,3,0,0,2
622,0,0,disloyal Customer,25,Business travel,Eco,1205,1,1,1,3,3,1,3,3,2,3,3,4,4,3,17,16,1
623,0,0,disloyal Customer,29,Business travel,Eco,941,1,1,1,4,3,1,3,3,2,1,2,1,4,3,39,24,4
628,0,0,disloyal Customer,22,Business travel,Eco,280,1,5,1,2,4,1,4,4,3,2,4,4,4,4,0,0,2
635,0,1,disloyal Customer,34,Personal Travel,Eco,789,2,5,2,2,5,2,1,5,3,5,5,4,5,5,0,0,4
639,0,1,disloyal Customer,23,Business travel,Eco,522,2,3,2,4,5,2,5,5,2,4,3,3,4,5,23,13,4
641,1,0,disloyal Customer,27,Business travel,Business,581,5,5,5,4,2,5,1,2,3,4,5,4,4,2,0,0,4
644,0,1,disloyal Customer,26,Business travel,Eco,620,4,0,4,1,2,4,2,2,1,5,3,2,1,2,0,0,4
649,0,0,disloyal Customer,15,Business travel,Eco,239,3,2,2,2,2,2,4,2,3,5,3,3,3,2,0,0,2
688,0,1,disloyal Customer,32,Business travel,Eco,300,3,5,3,3,1,3,1,1,2,4,1,2,1,1,69,61,2
695,0,1,disloyal Customer,22,Business travel,Eco,733,3,3,3,3,3,3,3,3,2,2,3,3,4,3,42,42,4
698,0,0,disloyal Customer,20,Business travel,Eco,663,1,0,1,3,3,1,4,3,2,1,4,2,4,3,13,9,4
711,1,1,disloyal Customer,25,Business travel,Eco,1264,5,5,5,3,2,5,2,2,4,3,3,4,4,2,3,0,1
713,0,0,disloyal Customer,32,Business travel,Eco,531,3,0,4,4,3,4,3,3,1,1,5,2,4,3,0,0,4
718,0,1,disloyal Customer,55,Business travel,Business,404,1,1,1,2,1,5,5,4,5,5,4,5,4,5,137,140,2
727,0,1,disloyal Customer,23,Business travel,Eco,451,3,2,3,4,1,3,1,1,2,4,4,2,4,1,52,55,2
732,0,1,disloyal Customer,35,Business travel,Business,231,3,3,3,4,3,2,2,1,3,3,3,2,3,2,156,156,2
735,0,1,disloyal Customer,23,Business travel,Eco,236,1,0,0,3,0,3,3,5,3,5,3,3,1,3,61,148,2
737,1,0,disloyal Customer,44,Business travel,Business,731,5,5,5,5,1,5,1,1,3,5,5,3,5,1,0,5,4
743,0,0,disloyal Customer,44,Business travel,Business,1744,4,4,4,2,4,4,4,4,5,2,4,3,5,4,0,0,1
748,1,1,disloyal Customer,22,Business travel,Eco,341,5,0,5,3,2,5,2,2,3,3,3,2,5,2,23,16,2
750,0,1,disloyal Customer,36,Business travel,Eco,431,3,2,3,3,3,3,3,3,2,3,4,1,3,3,0,0,2
762,0,0,disloyal Customer,21,Business travel,Eco,577,1,1,1,3,3,1,3,3,4,5,3,3,4,3,0,0,4
766,0,1,disloyal Customer,30,Business travel,Business,725,1,1,1,4,5,1,5,5,3,3,4,3,5,5,5,0,4
769,0,0,disloyal Customer,38,Business travel,Business,1276,3,2,2,1,3,2,3,3,4,4,5,3,5,3,0,5,1
770,0,0,disloyal Customer,39,Business travel,Business,2521,3,3,3,3,3,3,3,3,5,4,4,4,5,3,0,0,3
778,0,0,disloyal Customer,41,Business travel,Business,358,3,3,3,3,4,3,2,4,3,1,3,2,1,4,0,5,2
787,0,1,disloyal Customer,41,Business travel,Eco,304,3,1,3,3,5,3,5,5,1,4,4,4,3,5,4,0,2
788,1,1,disloyal Customer,26,Business travel,Business,641,4,4,4,4,4,4,4,4,3,2,5,4,4,4,0,20,4
795,0,1,disloyal Customer,20,Business travel,Eco,820,4,4,4,5,5,4,3,5,4,2,2,2,3,5,0,0,4
797,0,1,disloyal Customer,25,Business travel,Business,523,2,0,2,3,4,2,4,4,4,3,5,4,4,4,0,0,4
799,0,0,disloyal Customer,18,Business travel,Eco,2457,3,4,4,3,2,3,4,2,3,4,3,1,3,2,0,4,3
803,0,0,disloyal Customer,39,Business travel,Eco,143,1,0,1,4,4,1,4,4,1,3,3,2,3,4,0,0,2
806,1,1,disloyal Customer,25,Business travel,Business,930,5,0,5,2,1,5,1,1,5,5,4,5,5,1,14,0,4
807,1,0,disloyal Customer,55,Business travel,Business,220,5,5,5,4,5,5,4,5,3,4,5,4,4,5,0,0,2
821,1,1,disloyal Customer,23,Business travel,Eco,657,4,4,4,3,3,4,3,3,4,1,2,2,4,3,0,0,4
822,0,1,disloyal Customer,54,Business travel,Eco,1237,3,3,3,3,1,3,1,1,3,2,3,3,3,1,0,11,1
834,0,0,disloyal Customer,39,Business travel,Business,328,2,2,2,3,2,2,2,2,3,3,4,3,4,2,16,21,2
844,0,1,disloyal Customer,16,Business travel,Eco,174,3,2,3,3,4,3,4,4,2,4,4,4,3,4,0,14,2
867,0,0,disloyal Customer,40,Business travel,Business,304,3,3,3,1,4,3,4,4,5,4,4,5,5,4,22,13,2
870,0,0,disloyal Customer,24,Business travel,Business,1076,2,2,2,2,1,2,1,1,2,2,2,2,3,1,118,96,1
876,0,1,disloyal Customer,27,Business travel,Eco,491,3,2,3,3,2,3,2,2,4,3,4,1,3,2,6,0,2
877,0,0,disloyal Customer,64,Business travel,Eco,372,4,2,4,4,4,4,4,4,3,2,4,3,3,4,0,4,2
879,0,0,disloyal Customer,25,Business travel,Business,337,1,5,1,3,3,1,5,3,3,3,4,3,5,3,0,0,2
886,0,0,disloyal Customer,28,Business travel,Eco,1197,1,1,1,3,3,1,1,3,2,2,4,3,3,3,0,0,1
890,0,1,disloyal Customer,27,Business travel,Business,1179,3,3,3,3,5,3,5,5,1,2,4,2,2,5,0,0,1
891,0,1,disloyal Customer,28,Business travel,Eco,250,2,0,2,1,4,2,4,4,3,3,2,2,3,4,0,0,2
893,0,1,disloyal Customer,54,Business travel,Eco,1062,2,1,1,4,2,1,2,2,4,5,3,3,4,2,0,19,1
904,0,0,disloyal Customer,34,Business travel,Eco,1100,2,2,2,3,4,2,4,4,4,3,1,1,5,4,0,0,1
906,0,1,disloyal Customer,56,Business travel,Eco,67,2,0,2,5,1,2,1,1,2,2,3,4,1,1,0,0,2
920,1,1,disloyal Customer,29,Business travel,Eco,1208,4,5,5,2,2,5,2,2,5,1,2,2,2,2,0,0,1
933,1,1,disloyal Customer,21,Business travel,Eco,966,4,4,4,3,2,4,2,2,5,3,5,4,4,2,0,4,4
938,0,1,disloyal Customer,19,Business travel,Eco,1747,2,2,2,4,5,2,5,5,3,2,4,4,4,5,4,0,1
940,0,0,disloyal Customer,52,Business travel,Eco,814,3,3,3,4,1,3,1,1,3,2,3,1,3,1,0,0,4
943,0,0,disloyal Customer,14,Business travel,Eco,1463,3,3,3,4,2,3,4,2,3,2,3,3,4,2,31,56,1
957,0,1,disloyal Customer,45,Business travel,Business,502,3,4,4,1,3,3,3,3,3,3,5,4,4,3,0,2,2
960,1,0,disloyal Customer,29,Business travel,Business,189,0,0,0,3,5,0,5,5,4,5,5,4,4,5,0,0,2
962,0,0,disloyal Customer,30,Business travel,Business,1746,2,2,2,2,3,2,1,3,4,5,3,4,5,3,0,21,1
970,1,1,disloyal Customer,38,Business travel,Business,473,4,4,4,1,1,4,1,1,5,3,4,5,5,1,43,37,2
972,0,0,disloyal Customer,24,Business travel,Eco,921,3,3,3,1,5,3,5,5,5,4,5,3,5,5,0,0,4
973,0,0,disloyal Customer,22,Business travel,Eco Plus,1149,1,1,0,2,4,0,4,4,2,2,2,2,3,4,0,6,1
994,1,0,disloyal Customer,29,Business travel,Business,1037,4,4,4,3,1,4,1,1,4,5,4,4,4,1,0,0,1
995,0,1,disloyal Customer,28,Business travel,Eco,125,1,4,1,1,4,1,4,4,1,1,2,5,4,4,0,0,2
999,0,0,disloyal Customer,27,Business travel,Eco,737,1,1,1,3,1,1,1,1,3,2,3,2,3,1,1,1,4
1010,0,0,disloyal Customer,23,Business travel,Eco,461,4,1,4,3,4,4,4,4,3,4,3,3,2,4,0,5,2
1035,0,0,disloyal Customer,25,Business travel,Business,1735,1,3,1,4,1,1,1,3,1,3,4,1,2,1,288,277,1
1041,1,1,disloyal Customer,23,Business travel,Business,961,5,0,4,2,5,4,5,5,4,5,4,5,5,5,6,0,4
1043,0,0,disloyal Customer,29,Business travel,Eco Plus,862,3,3,3,3,1,3,3,1,4,2,1,5,1,1,0,0,4
1045,1,0,disloyal Customer,38,Business travel,Business,1598,5,5,5,5,1,5,1,1,3,4,4,3,4,1,0,0,1
1056,0,1,disloyal Customer,28,Business travel,Business,1849,1,1,1,3,2,1,2,2,4,3,3,5,4,2,13,9,3
1063,0,0,disloyal Customer,28,Business travel,Eco,1750,2,2,2,3,2,2,5,2,2,1,3,3,4,2,20,22,1
1064,0,0,disloyal Customer,36,Business travel,Eco,323,3,3,3,3,4,3,4,4,2,5,3,4,4,4,42,50,2
1065,1,0,disloyal Customer,27,Business travel,Business,2425,5,5,5,2,4,5,4,4,4,4,3,5,4,4,5,0,3
1067,0,0,disloyal Customer,25,Business travel,Eco,1050,2,2,2,2,5,2,5,5,1,3,1,1,4,5,0,0,1
1077,0,1,disloyal Customer,23,Business travel,Eco,529,1,5,1,4,3,1,3,3,3,5,4,4,5,3,0,1,4
1080,0,1,disloyal Customer,19,Business travel,Eco,1175,2,2,2,3,4,2,4,4,4,4,4,3,4,4,0,0,1
1085,0,1,disloyal Customer,36,Business travel,Eco,524,3,0,4,3,3,4,3,3,1,1,3,3,3,3,49,95,4
1087,0,1,disloyal Customer,24,Business travel,Eco,226,3,0,3,5,3,3,3,3,3,5,5,3,4,3,0,0,2
1100,0,0,disloyal Customer,24,Business travel,Business,631,3,2,3,3,1,3,1,1,4,2,4,1,4,1,1,0,4
1103,0,0,disloyal Customer,24,Business travel,Eco,473,2,3,2,3,5,2,5,5,5,4,1,5,5,5,0,0,2
1112,0,1,disloyal Customer,36,Business travel,Eco,1258,3,3,3,4,3,3,3,3,3,4,3,1,3,3,0,0,1
1113,1,1,disloyal Customer,25,Business travel,Business,271,5,0,5,4,2,5,2,2,3,2,4,4,4,2,0,5,2
1117,1,0,disloyal Customer,19,Business travel,Business,918,0,5,0,5,1,0,1,1,5,5,5,3,4,1,0,0,4
1128,0,1,disloyal Customer,26,Business travel,Business,689,1,1,1,3,5,1,5,5,5,5,5,3,4,5,0,0,4
1145,0,1,disloyal Customer,22,Business travel,Eco,250,4,4,4,5,2,4,2,2,4,2,4,4,2,2,0,0,2
1147,1,1,disloyal Customer,39,Business travel,Business,491,4,4,4,4,2,4,2,2,4,2,5,4,4,2,0,0,2
1153,0,1,disloyal Customer,22,Business travel,Eco,1303,1,1,1,3,2,1,2,2,3,3,4,4,5,2,0,3,1
1158,0,0,disloyal Customer,25,Business travel,Eco,192,1,5,1,4,5,1,1,5,5,1,3,3,2,5,0,0,2
1161,1,0,disloyal Customer,23,Business travel,Eco,539,5,0,4,1,3,4,3,3,3,2,5,3,5,3,55,51,4
1162,0,0,disloyal Customer,11,Business travel,Eco,2133,3,3,3,4,1,3,1,1,4,3,4,4,3,1,2,13,3
1172,0,0,disloyal Customer,57,Business travel,Eco,409,4,1,4,3,4,4,4,4,2,3,3,1,3,4,23,54,2
1176,0,1,disloyal Customer,28,Business travel,Business,468,2,2,2,3,4,2,4,4,4,3,3,4,2,4,0,10,2
1195,1,1,disloyal Customer,23,Business travel,Eco,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4,2
1198,0,1,disloyal Customer,20,Business travel,Eco,337,3,0,3,3,2,3,2,2,5,5,5,5,5,2,25,18,2
1212,0,1,disloyal Customer,22,Business travel,Eco,102,3,5,3,4,2,3,2,2,2,3,2,4,5,2,0,0,2
1214,0,1,disloyal Customer,19,Business travel,Business,214,3,2,3,3,2,3,2,2,1,1,3,2,3,2,8,0,2
1215,1,0,disloyal Customer,24,Business travel,Eco,247,5,0,5,2,2,5,2,2,5,5,4,5,4,2,3,0,2
1222,1,0,disloyal Customer,28,Business travel,Business,1726,5,5,5,4,5,5,5,5,4,5,4,5,5,5,0,0,1
1224,0,0,disloyal Customer,28,Business travel,Eco,817,1,1,1,5,4,1,4,4,5,2,4,1,5,4,0,0,4
1228,1,1,disloyal Customer,24,Business travel,Business,441,4,0,4,3,2,4,2,2,5,2,4,4,5,2,0,0,2
1235,0,1,disloyal Customer,17,Business travel,Eco,543,2,1,3,4,5,3,5,5,2,3,4,4,3,5,0,0,4
1236,1,1,disloyal Customer,27,Business travel,Business,626,0,0,0,3,3,0,3,3,3,2,5,4,5,3,0,0,4
1238,0,1,disloyal Customer,38,Business travel,Business,1670,3,3,3,4,2,3,2,2,3,2,4,4,5,2,10,32,1
1242,0,1,disloyal Customer,27,Business travel,Eco,458,4,2,4,2,1,4,1,1,1,1,2,2,2,1,35,18,2
1244,1,1,disloyal Customer,21,Business travel,Business,550,5,0,5,4,4,0,4,4,3,5,5,4,4,4,21,20,4
1260,1,1,disloyal Customer,50,Business travel,Eco,511,5,3,5,3,3,5,3,3,5,1,1,4,3,3,0,0,2
1265,0,0,disloyal Customer,24,Business travel,Eco,775,1,2,2,4,3,2,3,3,3,2,4,3,5,3,0,0,4
1270,0,0,disloyal Customer,34,Business travel,Eco,368,3,3,3,3,3,3,3,3,2,4,4,2,3,3,18,10,2
1274,0,0,disloyal Customer,33,Business travel,Business,359,3,3,3,1,4,3,4,4,4,4,5,4,4,4,0,0,2
1281,0,1,disloyal Customer,23,Business travel,Eco,255,3,4,2,4,3,2,3,3,4,5,3,4,4,3,4,1,2
1283,1,0,disloyal Customer,25,Business travel,Business,334,4,3,4,4,5,4,5,5,5,3,5,4,5,5,7,0,2
1294,1,1,disloyal Customer,27,Business travel,Eco,641,5,0,4,4,2,4,2,2,1,1,3,4,1,2,0,0,4
1297,1,1,disloyal Customer,25,Business travel,Eco,911,4,4,4,3,3,4,3,3,1,5,4,2,5,3,28,39,4
